consensus_review_rank,roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,review_priority_tier,consensus_review_score,pre_event_review_score,pre_event_review_rank,review_reason,si_clean_physics_prob,si_near_far_physics_prob,front_radius_slope_px_per_norm_time,front_radius2_slope_px2_per_norm_time,front_radius_slope_px_per_norm_time_source_echem_context_residual,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual,kymograph_temporal_energy,matched_positive_support_count,matched_positive_support_weight,matched_positive_support_details,consensus_review_reason,npz_path
1,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,5.0,matched_support_front_qc,0.9317537495644084,4.70715668452391,2,near_pre_high_source_invariant_front_score,0.9591082480778378,0.5238473123032038,1.2184278350515485,16.473582474226824,1.168490423459258,15.83874160171226,0.5500140014404419,0.0001566289176159,56.0,146.89187570173056,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=56; front_radius2_slope_px2_per_norm_time=16.5; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.17; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.55,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723.npz
2,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,4.0,matched_support_front_qc,0.9055233514265109,4.788927425539625,1,near_pre_high_source_invariant_front_score,0.9409796437373672,0.5224796930887736,0.9097938144329928,12.903350515463927,0.8616921046768429,12.304358599293252,0.5191468596436916,0.0003248446284712,55.0,145.25316946026882,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=55; front_radius2_slope_px2_per_norm_time=12.9; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.862; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.519,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723.npz
3,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,4.0,matched_support_front_qc,0.8871293348826369,4.384080994350195,5,near_pre_high_source_invariant_front_score,0.999802654072065,0.5295170894084981,1.088273195876288,9.735180412371138,1.0474142909991653,9.246840467729706,-0.027885407208518,0.0025229641523079,50.0,134.12952086837333,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=50; front_radius2_slope_px2_per_norm_time=9.74; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.05; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.0279,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723.npz
4,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,6.0,matched_support_front_qc,0.8365557003942696,4.6365682358316,3,near_pre_high_source_invariant_front_score,0.9670250645675518,0.5247942255798423,0.2551546391752632,3.6340206185567134,0.1806529140901664,2.5676631300125257,0.1403622563799911,0.0001929795566621,57.0,149.41518852449022,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=57; front_radius2_slope_px2_per_norm_time=3.63; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.181; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.14,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723.npz
5,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,5.0,matched_support_front_qc,0.8175704977407339,4.094232054188878,6,near_pre_high_source_invariant_front_score,0.9969306763699826,0.5307120334928379,0.3646907216494849,2.7770618556701057,0.3212776384518969,2.2428789024442786,-0.0541834614559234,0.0013601514043171,45.0,121.10962171401623,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=45; front_radius2_slope_px2_per_norm_time=2.78; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.321; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.0542,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723.npz
6,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,2.0,matched_support_front_qc,0.8166534540269547,3.879551446143447,8,near_pre_high_source_invariant_front_score,0.9867930021342394,0.5259006932050332,0.7603092783505181,9.012886597938143,0.7254776772655465,8.603975467750798,,0.0006495558372278,42.0,111.58544073629783,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=42; front_radius2_slope_px2_per_norm_time=9.01; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.725,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723.npz
7,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,2.0,matched_support_front_qc,0.790358137183085,3.696467972188975,12,near_pre_front_diffusion_review,0.0344508620510956,0.5010955358983313,0.908505154639176,13.056701030927863,0.8665102272557584,12.540653696897897,1.0219480738736706,0.0002190963255963,55.0,145.25316946026882,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=55; front_radius2_slope_px2_per_norm_time=13.1; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.867; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=1.02,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723.npz
8,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,80.0,9_c2_x10_010723,near_pre_event_1_8,6.0,matched_support_front_qc,0.764613105153772,3.714178190844442,11,near_pre_high_source_invariant_front_score,0.6787272370367419,0.4986361822917508,1.6514175257731942,15.449097938144329,1.6030353725250368,14.87199861933618,,3.184150395857616e-06,31.0,81.83669302786195,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=31; front_radius2_slope_px2_per_norm_time=15.4; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.6,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle80_rank62_obj2_9_c2_x10_010723.npz
9,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,6.0,matched_support_front_qc,0.7547556676613626,4.455705473739069,4,near_pre_high_source_invariant_front_score,0.9992704461225308,0.5304181808275926,0.0476804123711354,0.3582474226804166,-0.0176063537867637,-0.5848903972925947,-0.0338748329089668,0.0013482401609355,56.0,148.32055032737875,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=56; front_radius2_slope_px2_per_norm_time=0.358; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0176; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.0339,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723.npz
10,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,78.0,9_c2_x10_010723,near_pre_event_1_8,8.0,matched_support_front_qc,0.742136570603587,3.882787615599379,7,near_pre_high_source_invariant_front_score,0.7210847190036884,0.4987981840183433,1.193298969072164,12.21907216494846,1.1412832491748364,11.578854534600689,,2.578483359048009e-06,30.0,78.3891009190404,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=30; front_radius2_slope_px2_per_norm_time=12.2; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.14,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle78_rank61_obj2_9_c2_x10_010723.npz
11,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,8.0,matched_support_front_qc,0.7201751914396031,2.8948661488332696,40,near_pre_front_diffusion_review,0.5680399348938041,0.511844076157913,0.9877577319587604,16.79188144329895,0.914164406650018,15.89553369891303,-0.4906464012003412,2.8051057161769694e-06,19.0,49.004886218654676,near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.003;near_vs_any_non_near|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.003;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_median|p=0.003,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=19; front_radius2_slope_px2_per_norm_time=16.8; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.914; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.491,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2.npz
12,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,4.0,matched_support_front_qc,0.6480345640671727,3.326630708114364,24,near_pre_front_diffusion_review,0.5704237919102725,0.5029959506813085,0.4813144329896924,5.294458762886611,0.4265074031550435,4.6330859340904205,,1.889714273795161e-06,17.0,45.584199002044095,near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.002;near_vs_any_non_near|source_penalized_echem_context|mask_centroid_path_px|p=0.002;near_vs_post_control|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=17; front_radius2_slope_px2_per_norm_time=5.29; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.427,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle56_rank51_obj2_7_c2_x10_290623.npz
13,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,near_pre_event_1_8,6.0,matched_support_front_qc,0.6464941126575097,3.4769884596921665,19,near_pre_high_source_invariant_front_score,0.6559369439311635,0.5163098964354269,0.002577319587627,0.0438144329896962,-0.023499744123282,-0.4170885674494309,-0.1118614935730659,1.3961892656448471e-05,45.0,119.49262137289529,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=45; front_radius2_slope_px2_per_norm_time=0.0438; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0235; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.112,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle110_rank12_obj1_12_c2_x10_070723.npz
14,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,2.0,matched_support_front_qc,0.6355294079150899,3.3628436852395174,22,near_pre_front_diffusion_review,0.6173502877725796,0.4990302742166494,0.1965206185567026,2.161726804123692,0.1554864461530406,1.7116432097724696,,6.380078469835176e-06,23.0,60.386833770283694,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_median|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.002;near_vs_any_non_near|source_penalized_echem_context|mask_centroid_path_px|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=23; front_radius2_slope_px2_per_norm_time=2.16; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.155,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle84_rank64_obj2_9_c2_x10_010723.npz
15,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,8.0,matched_support_front_qc,0.6353088832567841,3.0017354008407287,34,near_pre_front_diffusion_review,0.4104303531601103,0.5101715014256929,0.701675257731959,7.718427835051564,0.6391651669230987,7.017408630279018,,2.12267292720307e-06,18.0,46.153269315364355,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.002;near_vs_any_non_near|source_penalized_echem_context|mask_centroid_path_px|p=0.002;near_vs_post_control|source_penalized_echem_context|kymograph_temporal_energy|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=18; front_radius2_slope_px2_per_norm_time=7.72; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.639,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2.npz
16,source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723,126.0,14_c2_x10_HighCOV_110723,post_event_1_16,30.0,routine_review,0.6346001750759428,2.5078436783597806,69,context_or_guardrail_row,0.6301782294891995,,1.0914948453608295,23.15077319587633,1.1087572004726174,23.66402942329352,0.0053431088044246,1.763531957756503e-05,0.0,0.0,,event_relative_bin=post_event_1_16; review_reason=context_or_guardrail_row; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=23.2; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.11; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.00534,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723.npz
17,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,58.0,7_c2_x10_290623,near_pre_event_1_8,2.0,matched_support_front_qc,0.62707673905893,3.485339749050869,18,near_pre_high_source_invariant_front_score,0.7843053699749247,0.5075188584115021,0.0109536082474237,0.186211340206175,-0.0475319874438441,-0.5906150788223208,-0.1196195862142488,2.2372723457448613e-05,24.0,62.74763381492856,near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_post_control|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=24; front_radius2_slope_px2_per_norm_time=0.186; front_radius_slope_px_per_norm_time_source_echem_context_residual=-0.0475; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.12,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle58_rank52_obj2_7_c2_x10_290623.npz
18,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,82.0,9_c2_x10_010723,near_pre_event_1_8,4.0,matched_support_front_qc,0.6140390866074897,3.691417233872273,13,near_pre_front_diffusion_review,0.5983265247181447,0.4990051244973415,0.0612113402061873,0.6733247422680478,0.0176813364018149,0.1775509900119694,,7.462392882354916e-06,31.0,82.1649971083926,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=31; front_radius2_slope_px2_per_norm_time=0.673; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.0177,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle82_rank63_obj2_9_c2_x10_010723.npz
19,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,54.0,6_c2_x10_270623_2,near_pre_event_1_8,6.0,matched_support_front_qc,0.6116873854739296,3.138657625626704,28,near_pre_front_diffusion_review,0.4280361191008493,0.5114361059045193,0.212628865979384,1.7010309278350606,0.1567754330104843,1.0818087481888568,,4.270765621154241e-06,24.0,66.8186316119222,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=24; front_radius2_slope_px2_per_norm_time=1.7; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.157,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2.npz
