cycleNo,source_stem,front_candidate_rank,front_centroid_x_ds,front_centroid_y_ds,front_quality_score,front_radius_slope_ds_px_per_frame,front_radius_slope_r2,front_radius_monotonic_fraction,apparent_diffusion_proxy_ds_px2_per_frame,front_radius2_slope_r2,roi_mean_delta_last_minus_first,high_fraction_first,high_fraction_last,front_preview_png,front_trace_csv,downsample,object_candidate_rank,object_candidate_id,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,object_match_distance_ds,object_overlay_png,neighbor_cycleNo,neighbor_local_gap,neighbor_candidate_rank,neighbor_distance_ds,neighbor_mean_residual,neighbor_area_ds_px,neighbor_residual_delta,elapsed_s,frame_elapsed,sec_per_frame,apparent_diffusion_proxy_full_px2_per_frame,apparent_diffusion_proxy_full_px2_per_s,validation_score,validation_tier,selected_for_next_tracking
86.0,10_c2_x10_030723,2,331.5811518324607,42.58638743455497,2.198397308847956,-0.0001604037023259,0.5428245893496153,0.6129032258064516,-0.0003828212075766,0.5426694936918888,-7.706806282723846,0.3350785340314136,0.3298429319371728,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand2.csv,4,6,26,333.964824120603,42.91959798994975,199.0,3840.59619140625,14.040435791015623,2.4068491542853305,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,4,2.205285568413112,3987.415283203125,196.0,146.819091796875,9098.54734659195,906.0,10.042546740167715,-0.0061251393212256,-0.0006099189259161274,6.575261598909724,candidate_roi_supported,True
86.0,10_c2_x10_030723,5,416.8035714285714,47.92857142857143,1.9606669965442456,0.0003388017272377,0.4585768175560307,0.5483870967741935,0.000766356757609,0.4537030822140212,22.85714285714312,0.3273809523809524,0.3154761904761904,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand5.csv,4,8,35,415.1774193548387,47.78225806451613,124.0,5060.29443359375,15.07789421081543,1.6327210929629836,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,8,1.6865359119107286,4510.19921875,131.0,-550.09521484375,9098.54734659195,906.0,10.042546740167715,0.012261708121744,0.001220975957492952,6.149390942226371,candidate_roi_supported,True
86.0,10_c2_x10_030723,3,295.0933333333333,270.3333333333333,1.456577760966197,-0.0001912941581939,0.1376679351873487,0.6774193548387096,-0.0004042854948111,0.1414904709401384,43.09333333333234,0.32,0.3133333333333333,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand3.csv,4,5,164,296.0617283950617,271.4938271604938,81.0,7506.40576171875,18.183162689208984,1.5114678026533095,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,6,0.7513683659431737,6501.10595703125,92.0,-1005.2998046875,9098.54734659195,906.0,10.042546740167715,-0.0064685679169776,-0.0006441162868682424,5.401734970572861,candidate_roi_supported,True
86.0,10_c2_x10_030723,8,28.78846153846154,249.1153846153846,1.248393377128957,0.0001250923712767,0.0505274760438475,0.6451612903225806,0.0002578172714733,0.0527046107625288,27.076923076923777,0.2596153846153846,0.2980769230769231,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand8.csv,4,17,158,29.0,250.72549019607845,51.0,6343.98779296875,15.364051818847656,1.6239422716622371,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,19,1.2209699536425467,5892.21826171875,54.0,-451.76953125,9098.54734659195,906.0,10.042546740167715,0.0041250763435728,0.00041075998452399625,4.685876093483037,candidate_roi_supported,True
86.0,10_c2_x10_030723,4,203.61702127659572,97.5035460992908,1.1156177975150214,3.755559910081925e-05,0.000744874142998,0.6129032258064516,0.0001313458507198,0.0019696975655716,-124.82269503546196,0.3404255319148936,0.3262411347517731,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand4.csv,4,9,70,202.68478260869568,95.92391304347828,92.0,5737.86865234375,13.932784080505373,1.8342054205959708,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,9,1.88591828736221,5449.6240234375,93.0,-288.24462890625,9098.54734659195,906.0,10.042546740167715,0.0021015336115168,0.0002092630152380753,4.642304496451183,candidate_roi_supported,True
86.0,10_c2_x10_030723,6,139.38666666666666,56.02,1.85813722649508,-0.0002160478149987,0.4228746509426062,0.5161290322580645,-0.000538995063536,0.4191335432944091,-23.89333333333343,0.26,0.2666666666666666,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand6.csv,4,78,42,137.73333333333332,53.6,15.0,4680.72412109375,11.436481475830078,2.9308550136625877,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,1,4.597869169401825,11708.4150390625,41.0,7027.69091796875,9098.54734659195,906.0,10.042546740167715,-0.008623921016576,-0.0008587384494893551,4.162326601221001,candidate_roi_supported,False
86.0,10_c2_x10_030723,7,311.7846153846154,224.30769230769232,1.0379770320436483,6.922481487538558e-05,0.0280309756674309,0.4838709677419355,0.0001222306534912,0.0260750886342818,10.33846153846207,0.3230769230769231,0.2923076923076923,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand7.csv,4,35,145,310.92,225.32,50.0,5051.9326171875,12.313037872314451,1.3312875824625123,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,33,0.9832196328322232,4555.71923828125,59.0,-496.21337890625,9098.54734659195,906.0,10.042546740167715,0.0019556904558592,0.00019474048829037756,4.153096043925215,candidate_roi_supported,False
86.0,10_c2_x10_030723,1,257.03846153846155,44.82051282051282,1.1615789884543726,-5.741751792311796e-05,0.0082542746890079,0.6451612903225806,-0.0002215710731796,0.0081634234427838,12.307692307691468,0.188034188034188,0.1965811965811965,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand1.csv,4,59,29,261.1578947368421,39.1578947368421,19.0,6124.37744140625,14.845471382141112,7.00249765708167,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_86_10_c2_x10_030723_local1.png,88.0,2.0,58,7.08583534286964,5882.74951171875,19.0,-241.6279296875,9098.54734659195,906.0,10.042546740167715,-0.0035451371708736,-0.0003530117670942893,2.7200251626341387,front_only_candidate,False
116.0,13_c2_x6_100723,2,335.6821705426357,43.14728682170543,1.2552609026042028,1.2336246463425744e-05,0.0067482661996501,0.7419354838709677,2.589131439578409e-05,0.0065771525335849,-181.58139534883597,0.3720930232558139,0.3643410852713178,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_116_13_c2_x6_100723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_116_13_c2_x6_100723_cand2.csv,4,2,24,337.15441176470586,44.36029411764706,136.0,6350.0986328125,18.074146270751957,1.907585100584067,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_116_13_c2_x6_100723_local1.png,118.0,2.0,2,2.2808752011436395,6433.57666015625,129.0,83.47802734375,9126.74534368515,909.0,10.04042392044571,0.0004142610303325454,4.125931669966339e-05,5.165629358432775,candidate_roi_supported,True
116.0,13_c2_x6_100723,3,205.57798165137612,96.20183486238533,1.2773770940661642,-0.0001094273167688,0.0980448466492269,0.5806451612903226,-0.0001916121872806,0.0986870861266144,-130.3486238532114,0.3761467889908257,0.3302752293577982,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_116_13_c2_x6_100723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_116_13_c2_x6_100723_cand3.csv,4,9,61,205.231884057971,95.02898550724638,69.0,7682.4599609375,17.930206298828125,1.2228487862408284,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_116_13_c2_x6_100723_local1.png,118.0,2.0,9,1.3363537288170289,7925.2353515625,66.0,242.775390625,9126.74534368515,909.0,10.04042392044571,-0.0030657949964896,-0.00030534517474372784,5.040752044505354,candidate_roi_supported,True
