n,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,median_positive,median_negative,median_positive_minus_negative,permutation,feature,transform,window_cycles,label_col,future_direction
96,48,0.4518229166666667,0.501546048267359,-0.08344968365172825,0.418896483849326,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,62,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4539930555555556,0.5105354963193072,-0.07969068889264139,0.44022902492923144,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,63,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4565972222222222,0.5107992709887191,-0.07517989518173716,0.46661881433466507,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,64,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.521267361111111,0.5681489507728826,0.03683814863905121,0.7215922945423796,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,65,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4518229166666667,0.501546048267359,-0.08344968365172825,0.418896483849326,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,66,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5160590277777778,0.5613829081735067,0.027816561217242755,0.78790862252379,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,67,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4513888888888889,0.5049549147276962,-0.08420148260354561,0.4147029704486102,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,68,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.44921875,0.4957899477502292,-0.08796047736263247,0.3941047636101395,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,69,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4544270833333333,0.5018098229367711,-0.07893888994082403,0.4445679070310314,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,70,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.513454861111111,0.5544319547152002,0.02330576750633852,0.8216772165772254,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,71,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5614421975587764,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,72,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4565972222222222,0.5106237520632002,-0.07517989518173716,0.46661881433466507,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,73,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.45920138888888884,0.5163798525803301,-0.07066910147083293,0.4938496225670857,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,74,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5611979973145762,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,75,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.45920138888888884,0.5163798525803301,-0.07066910147083293,0.4938496225670857,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,76,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5611979973145762,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,77,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4513888888888889,0.5047793958021773,-0.08420148260354561,0.4147029704486102,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,78,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5611979973145762,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,79,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
