roi_id_x,cycleNo,source_stem,front_candidate_rank,object_candidate_rank,validation_score,validation_tier,crop_x0,crop_y0,crop_x1,crop_y1,center_x_full_px,center_y_full_px,n_frames,elapsed_s,roi_mean_delta_corrected,active_fraction_first,active_fraction_last,trace_csv,plot_png,crop_preview_png,direction,mean_last_delta,baseline_frames,threshold,noise_mad_sigma,radius2_slope_full_px2_per_s,radius2_slope_r2,radius2_slope_n_fit,apparent_diffusion_proxy_full_px2_per_s,area_equiv_radius2_slope_full_px2_per_s,area_equiv_radius2_slope_r2,p90_radius2_slope_full_px2_per_s,p90_radius2_slope_r2,stage_drift_xy,pixel_size_um,pixel_area_um2,radius2_slope_full_um2_per_s,apparent_diffusion_proxy_full_um2_per_s,area_equiv_radius2_slope_full_um2_per_s,p90_radius2_slope_full_um2_per_s,stage_drift_xy_um,center_x_full_um,center_y_full_um,roi_id_front,joint_degradation_score,joint_mode_name,roi_id_y,rollout_residual_energy_mean,mean_drop_frac,evidence_score,degradation_mode_hypothesis,manual_qc_status,manual_qc_required,qc_flag_count,auto_qc_notes,calibration_status,calibration_source,front_tracking_interpretation
cycle116_front7_obj37,116.0,13_c2_x6_100723,7,37,1.8968300110416167,event_comparator,1159,804,1351,996,1255.090909090909,900.2727272727273,32,9126.74534368515,-5.15625,0.0138346354166666,0.0425075954861111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle116_front7_obj37_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle116_front7_obj37_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle116_front7_obj37_crop_preview.png,-1.0,-3.714749336242676,5,302.74576171875003,100.91525390625,-0.217030104531719,0.612143252222972,32,-0.0542575261329297,0.0548619044285878,0.2224841363277084,-0.1175791687365506,0.3725686903841609,0.2236340951674545,0.096,0.009216,-0.0020001494433643224,-0.0005000373608410802,0.0005056073112138652,-0.0010836096190760503,0.021468873136075633,120.48872727272726,86.42618181818182,cycle116_front7_obj37,0.1280619444880397,lower_residual_comparison_mode,cycle116_rank7_obj37,0.0006502347223431,0.1917019578422557,12.929917335181958,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle86_front2_obj6,86.0,10_c2_x10_030723,2,6,3.0930795112716725,event_comparator,1240,76,1432,268,1335.859296482412,171.678391959799,32,9098.54734659195,-1.8193359375,0.0213758680555555,0.1001519097222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle86_front2_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle86_front2_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle86_front2_obj6_crop_preview.png,1.0,18.36862564086914,5,325.8491291015625,108.6163763671875,-0.1771701224715564,0.1583809804094795,32,-0.0442925306178891,0.1194537705204366,0.1643042633222733,-0.2938143049946933,0.0824635303753212,0.2236340951674545,0.096,0.009216,-0.0016327998486978638,-0.00040819996217446596,0.0011008859491163437,-0.0027077926348310936,0.021468873136075633,128.24249246231156,16.481125628140706,cycle86_front2_obj6,-0.7735151267667235,lower_residual_comparison_mode,cycle86_rank2_obj6,0.0007274599122411,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle86_front5_obj8,86.0,10_c2_x10_030723,5,8,2.4751395748073706,event_comparator,1565,95,1757,287,1660.7096774193549,191.1290322580645,32,9098.54734659195,1.4580078125,0.0224880642361111,0.1011284722222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle86_front5_obj8_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,1.0,37.709564208984375,5,318.756104296875,106.252034765625,-0.1045640531248182,0.1629754480732897,32,-0.0261410132812045,0.1379948929236807,0.1181269430340883,-0.056394694138723,0.0354040385809789,0.2236340951674545,0.096,0.009216,-0.0009636623135983246,-0.00024091557839958067,0.0012717609331846414,-0.0005197335011824712,0.021468873136075633,159.42812903225808,18.348387096774193,cycle86_front5_obj8,-1.5242953137706174,lower_residual_comparison_mode,cycle86_rank5_obj8,0.0010118616696672,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle58_front6_obj29,58.0,7_c2_x10_290623,6,29,1.7590923642497396,control_balancing,1140,751,1332,943,1236.076923076923,846.9230769230769,32,9248.984282493591,2.818359375,0.01708984375,0.1008843315972222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle58_front6_obj29_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle58_front6_obj29_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle58_front6_obj29_crop_preview.png,1.0,4.187871932983398,5,304.81329375,101.60443125,-0.2066609338642988,0.4715103442310421,32,-0.0516652334660747,0.1153050862042834,0.6145291381970015,-0.0909162503868564,0.5429350863798008,0.2121234070718645,0.096,0.009216,-0.0019045871664933778,-0.00047614679162334445,0.0010626516744586757,-0.0008378841635652685,0.020363847078898992,118.66338461538462,81.30461538461539,,,,,,,,,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle58_front4_obj2,58.0,7_c2_x10_290623,4,2,0.953493189052121,control_balancing,472,81,664,273,568.421052631579,176.8421052631579,32,9248.984282493591,1.724609375,0.0158420138888888,0.1050075954861111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle58_front4_obj2_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle58_front4_obj2_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle58_front4_obj2_crop_preview.png,1.0,14.667537689208984,5,321.86391767578124,107.28797255859376,-0.1052495799299537,0.0464959105354588,32,-0.0263123949824884,0.1087970084381957,0.61478003520402,0.1069776950790772,0.013562776792504,0.2121234070718645,0.096,0.009216,-0.0009699801286344533,-0.00024249503215861308,0.0010026732297664116,0.0009859064378487754,0.020363847078898992,54.56842105263158,16.97684210526316,,,,,,,,,pending,True,1,low radius2 fit R2,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle58_front3_obj9,58.0,7_c2_x10_290623,3,9,0.76680520822987,control_balancing,706,232,898,424,802.0759493670884,327.746835443038,32,9248.984282493591,2.4560546875,0.0330403645833333,0.1103244357638889,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle58_front3_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle58_front3_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle58_front3_obj9_crop_preview.png,1.0,52.316802978515625,5,319.87891318359374,106.62630439453125,-0.3107419995182605,0.4941175723622125,32,-0.0776854998795651,0.1490401078650065,0.4879799601095249,-0.3230605971616088,0.4689527046375001,0.2121234070718645,0.096,0.009216,-0.0028637982675602885,-0.000715949566890072,0.0013735536340838998,-0.0029773264634413866,0.020363847078898992,76.99929113924048,31.463696202531647,,,,,,,,,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle60_front5_obj18,60.0,7_c2_x10_290623,5,18,7.145111200594751,event_comparator,1566,34,1758,226,1661.5873015873017,130.34920634920636,32,9244.402400493622,2.50634765625,0.0106336805555555,0.2577311197916667,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle60_front5_obj18_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle60_front5_obj18_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle60_front5_obj18_crop_preview.png,1.0,16.20509147644043,5,316.2324990234375,105.4108330078125,0.0062238076182486,0.0009244415765347,32,0.0015559519045621,0.3048486984737928,0.9771405122386384,-0.0157083789238047,0.0045353100607685,0.2236340951674545,0.096,0.009216,5.7358611009779104e-05,1.4339652752444313e-05,0.0028094856051344747,-0.00014476842016178414,0.021468873136075633,159.51238095238097,12.51352380952381,,,,,,,,,pending,True,1,low radius2 fit R2,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle60_front3_obj9,60.0,7_c2_x10_290623,3,9,6.845413173735752,event_comparator,705,226,897,418,800.7027027027027,321.94594594594594,32,9244.402400493622,-1.68359375,0.0264485677083333,0.2061089409722222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle60_front3_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle60_front3_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle60_front3_obj9_crop_preview.png,1.0,51.84080505371094,5,318.38690214843746,106.12896738281248,-0.0703684686535671,0.0726171186550763,32,-0.0175921171633917,0.284406249118439,0.931099568336182,-0.0580054360415272,0.0368052784415307,0.2236340951674545,0.096,0.009216,-0.0006485158071112745,-0.00016212895177781793,0.0026210879918755338,-0.0005345780985587146,0.021468873136075633,76.86745945945947,30.90681081081081,,,,,,,,,pending,True,1,low radius2 fit R2,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle60_front1_obj1,60.0,7_c2_x10_290623,1,1,3.823198724983257,event_comparator,1234,19,1426,211,1330.3188405797105,115.18840579710144,32,9244.402400493622,0.716796875,0.0165473090277777,0.2456597222222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle60_front1_obj1_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle60_front1_obj1_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle60_front1_obj1_crop_preview.png,1.0,6.792762279510498,5,328.6637525390625,109.5545841796875,-0.0288380082600111,0.0034638530624636,32,-0.0072095020650027,0.2794916200207809,0.917277760440437,0.2344359564484721,0.0327247921575282,0.2236340951674545,0.096,0.009216,-0.00026577108412426234,-6.644277103106488e-05,0.0025757947701115164,0.0021605617746291187,0.021468873136075633,127.71060869565221,11.058086956521738,,,,,,,,,pending,True,1,low radius2 fit R2,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle60_front2_obj2,60.0,7_c2_x10_290623,2,2,3.663859898191151,event_comparator,1084,938,1276,1130,1180.4,1033.6571428571428,32,9244.402400493622,20.5078125,0.01806640625,0.1991916232638889,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/roi_traces/cycle60_front2_obj2_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/plots/cycle60_front2_obj2_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_tracking/crop_previews/cycle60_front2_obj2_crop_preview.png,1.0,41.52010726928711,5,318.63448476562496,106.211494921875,0.0035152613853414,0.00025187983658,32,0.0008788153463353,0.2348236871120068,0.8993093801025074,-0.0796989144862536,0.1772478156685403,0.2236340951674545,0.096,0.009216,3.239664892730634e-05,8.099162231826124e-06,0.0021641351004242546,-0.0007345051959053132,0.021468873136075633,113.31840000000001,99.23108571428571,,,,,,,,,pending,True,1,low radius2 fit R2,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
