roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean,velocity_mse_mean,velocity_mse_p95,velocity_minus_persistence_mse,temporal_energy_mean,temporal_energy_p95,temporal_energy_late_minus_early,roi_norm_mean_late_minus_early,roi_norm_mean_positive_step_fraction,raw_roi_mean_delta_last_minus_first,stage_drift_xy_recomputed,n_loaded_frames,frame_height,frame_width,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,pixel_size_um_assumed,clean_pre_1_8_vs_post_control,clean_pre_1_16_vs_post_control,clean_pre_1_32_vs_post_control,near_pre_vs_far_pre,post_event_vs_control
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.329266672272,source_balanced_pre_event_candidate,574.5365853658536,231.1219512195122,41.0,11764.1923828125,29.37434196472168,479,135,671,327,192,96,96,2720,3626,8546.6884765625,8550.58984375,3.9013671875,0.0886805951595306,0.0889895185828208,0.0003089234232902,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,,0.0001514879695605,0.0005342881195247,0.000152451233589,0.0004069009737577,0.0015240002307109,0.000255163089605,0.0118549475446343,0.0125583950430154,0.0006056586280465,0.0027356993717451,0.4947368421052631,3.9013671875,0.1802674140626475,96,96,96,0.2894965277777778,0.2593315972222222,0.01318359375,0.0172574282511812,9.432653097030409,0.477554689894868,0.1148467246453698,0.1495535522699356,-0.0106627590757477,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,6.0,0.4536082474226806,,,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.56405304864168,source_balanced_pre_event_candidate,1190.9411764705883,652.0,34.0,12524.58203125,30.94007873535156,1095,556,1287,748,192,96,96,2720,3626,8040.17626953125,8034.916015625,-5.26025390625,0.0692231953144073,0.0689038857817649,-0.0003193095326423,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,,0.0001049481288646,0.0003582100616768,0.0001064220923581,0.0002763178490567,0.0010170915687922,0.0001712068624328,0.0097879720851778,0.0105747891589999,0.0005764625966548,0.0025362418964505,0.4947368421052631,-5.26025390625,0.1802674140626475,96,96,96,0.2357855902777778,0.21533203125,0.0056423611111111,0.0157232295470002,8.240731147139341,0.3310124986478269,0.0913796982505164,0.1544934604316949,-0.003901148745406,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,5.0,0.4407216494845362,,,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.307087736570715,source_balanced_pre_event_candidate,831.709090909091,65.81818181818181,55.0,9689.1435546875,24.847431182861328,736,0,928,192,192,96,96,4534,5439,8959.5205078125,8950.794921875,-8.7255859375,0.0919018611311912,0.091493934392929,-0.0004079267382621,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,,9.071571548702197e-05,0.0003581647761166,9.032414527609944e-05,0.0002673950803,0.0010557203437201,0.0001766522036632,0.0095208305865526,0.0099412252195179,-5.678460001945496e-05,0.0012987645653386,0.5263157894736842,-8.7255859375,0.2500244143604941,96,96,96,0.2163628472222222,0.1980794270833333,0.0031195746527777,0.0064537161950529,13.15209394580942,0.3817165859070733,0.2411761695331545,0.1510274857282638,-0.0005519843165829,18.0,0.0,,17.0,-1.0,-0.347938144329897,17.0,0.0,-0.1372422680412371,0.0,8.0,0.2384020618556706,-12.177835051546396,-0.4489237113402054,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.842986199481786,source_balanced_pre_event_candidate,574.2222222222222,232.0,45.0,10566.20703125,27.51865005493164,478,136,670,328,192,96,96,4534,5439,8528.22265625,8518.755859375,-9.466796875,0.087337926030159,0.0866547003388404,-0.0006832256913185,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,,0.0001340501621598,0.0005236282013356,0.0001338573929388,0.0003873821406159,0.0015182651404757,0.0002532808575779,0.0115750459954142,0.0118828395381569,-3.091525286436081e-05,0.0018353109868864,0.5157894736842106,-9.466796875,0.2500244143604941,96,96,96,0.2824435763888889,0.2634006076388889,0.0023600260416666,0.004230861947845,8.876210628320644,0.2362320775887905,0.2552938426658228,0.1451820358633995,-0.000627713635583,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,6.0,,,,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,25.488656580292165,source_balanced_pre_event_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.0658547729253768,0.0655813217163086,-0.0002734512090682,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,,8.752191934036091e-05,0.0003430043288972,8.800694195087999e-05,0.0002499854017514,0.0009834080701693,0.0001623936695978,0.0093529038131237,0.0097476213239133,8.436944335699081e-05,0.0015324347962935,0.5052631578947369,-5.462890625,0.1803181920235752,96,96,96,0.2392578125,0.2247178819444444,0.0026855468749999,0.0036051991605813,7.237326267030579,0.1757599245591413,0.0506031666985546,0.1483924500644207,0.003398164207855,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,5.0,,,,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,24.29946436055132,source_balanced_pre_event_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.0885036066174507,0.0878025293350219,-0.0007010772824287,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,,0.0001425995433237,0.0005580746888881,0.0001430377160431,0.0004118637007195,0.0016155431047081,0.0002691939298529,0.0119395041838288,0.0123930764384567,6.169639527797699e-05,0.0013491221082707,0.5157894736842106,-9.2666015625,0.1803181920235752,96,96,96,0.2837456597222222,0.2651909722222222,0.0026312934027777,0.000923637398876,8.910475025712678,0.2488163072237254,0.0422517294921644,0.1460160929709673,0.0014806482052795,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,6.0,,,,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,25.14983171634987,source_balanced_pre_event_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.086605779826641,-0.0004109740257263,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,,0.0001317574497079,0.0005149625823833,0.0001328631769865,0.0003798910765908,0.0014893841114826,0.0002480722323525,0.0114769348874688,0.0117690841667354,0.0001498833298683,0.0001812294746438,0.5157894736842106,-6.1943359375,0.2499755907063372,96,96,96,0.2799479166666667,0.26123046875,0.0035264756944444,0.0061108566231744,8.561781204053032,0.2422480547817554,0.4689751922648368,0.145544433966279,4.401707724121072e-05,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,6.0,-0.1211340206185567,,,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,23.93425610271029,source_balanced_pre_event_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.0925137251615524,0.0917659774422645,-0.0007477477192878,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,,9.137377492152154e-05,0.000361533674004,9.215469617629424e-05,0.0002681337646208,0.001061471767025,0.000176705798367,0.0095570832490921,0.009866430144757,0.0001112604513764,-0.0002308132437368,0.5157894736842106,-11.294921875,0.2499755907063372,96,96,96,0.2150607638888889,0.19677734375,0.0045572916666666,0.0057999478719215,12.534796255675692,0.3286292570847154,0.2987105254521448,0.1516675166785717,-1.3099932927906192e-05,17.0,-1.0,-0.5019329896907219,17.0,0.0,-1.3318298969072169,16.0,0.0,,0.0105263157894736,7.0,-1.6868556701030937,-43.95038659793816,-1.620187051546394,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,23.445151520434056,source_balanced_pre_event_candidate,1339.6521739130435,203.96521739130435,115.0,8149.71435546875,19.829694747924805,1244,108,1436,300,192,96,96,902,1803,8879.798828125,8878.8388671875,-0.9599609375,0.0725918188691139,0.0725421607494354,-4.9658119678497314e-05,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,,4.865315349888988e-05,0.0001680179462709,4.673887451644987e-05,0.0001335493725491,0.0004846584444749,8.482221164740622e-05,0.0066340127959847,0.0072179423645138,0.0005280580371618,0.0017475925075511,0.4947368421052631,-0.9599609375,0.2500244143604941,96,96,96,0.251953125,0.2351888020833333,0.0090874565972222,-0.011266963998067,7.731056895312873,0.1669664181519598,0.3094433700576768,0.1434324402362108,0.0106906441866045,11.0,0.0,,9.0,0.0,0.2106958762886602,6.0,3.0,2.5818298969072178,0.0631578947368421,13.0,0.6024484536082476,4.163015463917528,0.1534654020618557,0.192,0.0,0.0,0.0,,1.0
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,24.90960755549438,source_balanced_pre_event_candidate,834.3809523809524,95.61904761904762,42.0,13544.525390625,29.58783912658692,738,0,930,192,192,96,96,902,1803,8969.9482421875,8967.5615234375,-2.38671875,0.0822904556989669,0.0821564421057701,-0.0001340135931968,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,,7.749587530270219e-05,0.0002708779473323,7.504873065045103e-05,0.0002151181543013,0.0007937581365695,0.0001374598796246,0.0083891879767179,0.0094138372689485,0.0006830245256423,0.0015013193090756,0.4842105263157895,-2.38671875,0.2500244143604941,96,96,96,0.2409939236111111,0.2201605902777778,0.0096842447916666,-0.0112915738205183,10.794198579884034,0.34188067627843,0.1654083649662066,0.1364199556410312,0.0070953851412098,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,5.0,,,,0.192,0.0,0.0,0.0,,1.0
